,Year,InitNumber,Title,Qualified/Failed,PropNum,Appoved/Rejected,ElectionYear
726,1979,192,Taxation - Personal and Corporate Income (CA),F,,,
727,1979,191,Interest Rates - Loans and Judgments (CA),F,,,
728,1979,190,Taxation - Insurance Companies (CA),F,,,
729,1979,193,Rent Stabilization (S),F,,,
730,1979,194,State and Local Tax Limitation. Two-Thirds Vote Requirement (CA),F,,,
731,1979,195,Public Schools. Prayer or Reflection Period (CA),F,,,
732,1979,,Gaming and Extended Pari-Mutuel Horse Race and Jai-AlaiWagering (CA),F,,,
733,1979,197,Taxation - Personal and Corporate Income (CA),F,,,
734,1979,198,"Taxation of Person, Corporations, Insurers (CA)",F,,,
735,1979,199,"Alcoholic Beverages - Sale, Purchase and Consumption (S)",F,,,
736,1979,200,Off-Track Wagering on Horse Races (CA),F,,,
737,1979,201,Gaming and Extended Pari-Mutuel Horse Race and Jai AlaiWagering (CA),F,,,
738,1979,202,Taxation (CA),Q,9,R,1980
739,1979,203,Regulation of Practice of Denturism (S),F,,,
740,1979,204,Marijuana (S),F,,,
741,1979,205,Income Tax - Educational Expenses Credit (CA),F,,,
742,1979,206,Educational Funding (CA),F,,,
743,1979,207,Rent Control (CA),Q,10,R,1980
744,1979,208,Alcohol Fuel (CA),F,,,
745,1979,,Taxation (S),Q,11,R,1980
746,1979,210,Education (CA),F,,,
747,1979,211,"Fire, Police and Emergency Medical Services (CA)",F,,,
748,1979,212,Elections (S),F,,,
749,1979,213,Extended Pari-Mutuel Horse Race Wagering and Gaming (CA),F,,,
750,INITIATIVENUMBER,,,,,,
752,QUALIFIED FORTHE BALLOT(Q) OR FAILEDTO QUALIFYFOR THEBALLOT (F),,,,,,
754,PROPOSITIONNUMBER (IFAPPLICABLE),,,,,,
756,PROPOSITIONAPPROVED (A)OR REJECTED(R) BY VOTERS,,,,,,
758,ELECTIONYEAR,,,,,,
764,1979,214,Republican Party Presidential Primary (S),F,,,
765,1979,215,Religious Beliefs and Prayers (CA),F,,,
766,1979,216,Right of Privacy (CA),F,,,
767,1979,217,Expropriation of Oil Company Assets (CA),F,,,
768,1979,218,Petroleum Industry - Asset Divestiture (S),F,,,
769,1979,219,Water Facilities (CA),F,,,
770,1979,220,Environment (CA),F,,,
771,1979,221,State Agency Regulations (CA),F,,,
772,1979,222,Obligation of Contracts (CA),F,,,
773,1979,,Maintenance of Emergency Services (CA),F,,,
774,1979,224,Renewable Energy Sources Fund (S),F,,,
775,1979,225,Income Tax (S),F,,,
776,1979,226,Electrical Production (S),F,,,
777,1979,,Marijuana (S),F,,,
780,1980,228,Smoking and No-Smoking Sections (S),Q,10,R,1980
781,1980,229,Concealable Firearms (S),F,,,
782,1980,230,Motor Vehicle Fuel Sales Tax (S),F,,,
783,1980,231,Alcohol Energy (S),F,,,
784,1980,232,No-Fault Insurance (S),F,,,
785,1980,233,Education (CA),F,,,
786,1980,234,Regulation of Practice of Denturism (S),F,,,
787,1980,235,Maintenance of Emergency Services (CA),F,,,
788,1980,236,Gift and Inheritance Taxes (S),Q,5,A,1982
789,1980,237,Public Energy Corporation (S),F,,,
790,1980,238,Burden of Proof in Public School Assignment and Pupil BusingCases (S),F,,,
791,1980,239,Judges (CA),F,,,
792,1980,240,Public Oil and Gas Corporation (S),F,,,
793,INITIATIVENUMBER,,,,,,
795,QUALIFIED FORTHE BALLOT(Q) OR FAILEDTO QUALIFYFOR THEBALLOT (F),,,,,,
797,PROPOSITIONNUMBER (IFAPPLICABLE),,,,,,
799,PROPOSITIONAPPROVED (A)OR REJECTED(R) BY VOTERS,,,,,,
801,ELECTIONYEAR,,,,,,
806,1980,241,F,,,,
807,1980,242,F,,,,
808,1980,243,F,,,,
809,1980,244,F,,,,
810,1980,245,F,,,,
811,1980,246,F,,,,
812,1980,247,F,,,,
813,1980,248,F,,,,
814,1980,249,F,,,,
815,1980,250,Q,6,A,1982,
816,1980,252,F,,,,
817,1980,253,F,,,,
818,1980,254,F,,,,
819,1980,255,F,,,,
820,1980,256,F,,,,
821,1980,257,F,,,,
824,1981,258,Withdrawn,,,,
825,1981,259,Q,7,A,1982,
826,1981,260,F,,,,
827,1981,261,F,,,,
828,1981,262,F,,,,
829,1981,263,F,,,,
830,1981,264,F,,,,
831,1981,265,F,,,,
832,1981,266,Withdrawn,,,,
833,1981,267,F,,,,
834,1981,268,F,,,,
835,1981,269,F,,,,
836,INITIATIVENUMBER,,,,,,
838,QUALIFIED FORTHE BALLOT(Q) OR FAILEDTO QUALIFYFOR THEBALLOT (F),,,,,,
840,PROPOSITIONNUMBER (IFAPPLICABLE),,,,,,
842,PROPOSITIONAPPROVED (A)OR REJECTED(R) BY VOTERS,,,,,,
844,ELECTIONYEAR,,,,,,
849,1981,270,F,,,,
850,1981,271,F,,,,
851,1981,272,F,,,,
852,1981,273,Q,8,A,1982,
853,1981,274,F,,,,
854,1981,275,F,,,,
855,1981,279,F,,,,
856,1981,280,F,,,,
857,1981,281,Q,11,R,1982,
858,1981,282,F,,,,
859,1981,283,F,,,,
860,1981,284,Q,12,A,1982,
861,1981,285,F,,,,
862,1981,286,Q,13,R,1982,
863,1981,287,F,,,,
864,1981,288,F,,,,
865,1981,289,F,,,,
866,1981,290,F,,,,
867,1981,291,F,,,,
870,1982,292,Q,15,R,1982,
871,1982,293,F,,,,
872,1982,294,Q,14,R,1982,
873,1982,295,F,,,,
874,1982,296,F,,,,
875,1982,297,F,,,,
876,1982,298,F,,,,
877,1982,299,F,,,,
878,INITIATIVENUMBER,,,,,,
880,QUALIFIED FORTHE BALLOT(Q) OR FAILEDTO QUALIFYFOR THEBALLOT (F),,,,,,
882,PROPOSITIONNUMBER (IFAPPLICABLE),,,,,,
884,PROPOSITIONAPPROVED (A)OR REJECTED(R) BY VOTERS,,,,,,
886,ELECTIONYEAR,,,,,,
892,1982,300,Public Utility Rates (CA),F,,,
893,1982,301,"Utilities: Rates, Service, Burdens Tax (CA)",F,,,
894,1982,302,Drug Paraphernalia (S),F,,,
895,1982,303,Public Utilities Commission. Election (CA),F,,,
896,1982,304,Utility Rates (CA),Withdrawn,,,
897,1982,305,Utility Rates (CA),F,,,
898,1982,306,Voters - Electors (CA),F,,,
899,1982,307,Lotteries. Gambling (CA),F,,,
900,1982,308,Marijuana (S),F,,,
901,1982,309,Sports Fans Consumer Board (S),F,,,
904,1983,311,Government Pension Plans (CA),F,,,
905,1983,312,"Reapportionment of Assembly, Senate and Congressional Districts(S)",Q,,Removed byCourt Order,
906,1983,313,Constitutional Convention (S),Withdrawn,,,
907,1983,314,"Legislature: Rules, Procedures, Powers, Funding (S)",Q,24,A,1984
908,1983,315,Marijuana - Hemp (S),F,,,
909,1983,316,Space Station (S),F,,,
910,1983,317,Utility Rates (CA),F,,,
911,1983,318,"Public Officers and Employees: Salaries, Expenses, Benefits,Vacancies (CA)",F,,,
912,1983,319,Nuclear Weapons. United Nations Control (S),F,,,
913,1983,320,Welfare (S),F,,,
914,1983,321,Gambling. Lotteries (CA),F,,,
915,1983,322,Election Campaigns (S),F,,,
916,1983,323,Fire Safety Standards for Cigarettes and Little Cigars (S),F,,,
917,1983,324,South Africa Investments by California State Public Agencies (S),F,,,
918,1983,325,Taxation (CA),F,,,
919,1983,326,Criminal Court Procedures (CA),F,,,
920,INITIATIVENUMBER,,,,,,
922,QUALIFIED FORTHE BALLOT(Q) OR FAILEDTO QUALIFYFOR THEBALLOT (F),,,,,,
924,PROPOSITIONNUMBER (IFAPPLICABLE),,,,,,
926,PROPOSITIONAPPROVED (A)OR REJECTED(R) BY VOTERS,,,,,,
928,ELECTIONYEAR,,,,,,
934,1983,327,Balanced Federal Budget (S),Q,35,Removed byCourt Order,
935,1983,328,Taxation (CA),Q,36,R,1984
936,1983,329,Nuclear Weapons Policy (S),F,,,
937,1983,330,Gambling and Lotteries (CA),F,,,
938,1983,331,Plebiscite (CA),F,,,
939,1983,332,Tobacco (S),F,,,
940,1983,333,Legislators Compensation. Budget Bill Enactment (CA),Withdrawn,,,
941,1983,334,Prayer in Public School (CA),F,,,
942,1983,335,Welfare - Public Assistance Programs (S),Q,41,R,1984
943,1983,336,Legislators Compensation. Budget Bill Enactment (CA),F,,,
944,1983,337,Nuclear Free Zone (S),F,,,
945,1983,338,Voting Materials in English Only (S),Q,38,A,1984
946,1983,339,Phase Out of Local Rent Control. Conversion of Rental Housing toTenant Ownership (S),F,,,
949,1984,340,Rent Control Phase Out by 1990 (CA),F,,,
950,1984,341,Welfare (CA),F,,,
951,1984,342,Rent Control Phase Out (CA),F,,,
952,1984,343,State Lottery (CA),Q,37,A,1984
953,1984,344,Reapportionment (CA),Q,39,R,1984
954,1984,345,Campaign Contribution Limitations. State Offices (S),F,,,
955,1984,346,Agriculture Labor-Management Relations Act (S),F,,,
956,1984,347,Campaign Contributions Limitations. Elective State Offices (S),Q,40,R,1984
957,1984,348,Open Primary Elections (S),F,,,
958,1984,349,State Lottery Law (CA),F,,,
959,1984,350,Personal Income Taxes (CA),F,,,
960,1984,351,Firearms (CA),F,,,
961,INITIATIVENUMBER,,,,,,
963,QUALIFIED FORTHE BALLOT(Q) OR FAILEDTO QUALIFYFOR THEBALLOT (F),,,,,,
965,PROPOSITIONNUMBER (IFAPPLICABLE),,,,,,
967,PROPOSITIONAPPROVED (A)OR REJECTED(R) BY VOTERS,,,,,,
969,ELECTIONYEAR,,,,,,
975,1984,352,Community College Funding. Local Government Property TaxAllocations (CA),F,,,
976,1984,353,"Personal Income, Bank and Corporation Tax Laws (S)",F,,,
977,1984,354,Federal Laws - Creation of Initiative Process (S),F,,,
978,1984,355,"Legislature - Terms, Sessions, Compensation, Powers, Initiatives -Failure to Implement (CA)",F,,,
981,1985,356,Denturist Licensure Act (S),F,,,
982,1985,357,Motor Vehicle Insurance (CA),F,,,
983,1985,358,Anti-Apartheid Policy (S),Withdrawn,,,
984,1985,359,Limitation on Public Funded Abortions (CA),F,,,
985,1985,360,Injury Awards (CA),F,,,
986,1985,361,Reapportionment (CA),F,,,
987,1985,362,"Reapportionment of Assembly, Senate and Congressional Districts(S)",F,,,
988,1985,363,Prohibition of Public Funding for Termination of Life AfterFertilization (CA),F,,,
989,1985,364,Multiple Defendants Liability for Tort Damages (S),Q,51,A,1986
990,1985,365,"Compensation of Public Officials Employees, Individual Contractors(CA)",Q,61,R,1986
991,1985,366,Compensation for Injuries Caused by Wrongful Act of Health CareProviders (CA),F,,,
992,1985,367,Department of Veterans Affairs. Veterans Board (S),F,,,
993,1985,368,Taxation. Local Government and Districts (S),Q,62,A,1986
994,1985,369,Taxation (CA),F,,,
995,1985,370,Criminal Proceedings (CA/S),F,,,
996,1985,371,Disclosure of Use of Pesticides or Radiation on Food (S),F,,,
997,1985,372,Death Penalty (S),F,,,
998,1985,373,Acquired Immune Deficiency Syndrome (AIDS) (S),Q,64,R,1986
999,INITIATIVENUMBER,,,,,,
1001,QUALIFIED FORTHE BALLOT(Q) OR FAILEDTO QUALIFYFOR THEBALLOT (F),,,,,,
1003,PROPOSITIONNUMBER (IFAPPLICABLE),,,,,,
1005,PROPOSITIONAPPROVED (A)OR REJECTED(R) BY VOTERS,,,,,,
1007,ELECTIONYEAR,,,,,,
1014,1986,374,Q,63,A,1986,
1015,1986,375,F,,,,
1016,1986,376,F,,,,
1017,1986,377,F,,,,
1018,1986,378,F,,,,
1019,1986,379,F,,,,
1020,1986,380,F,,,,
1021,1986,381,Q,65,A,1986,
1022,1986,382,Q,68,A,1988,
1023,1986,383,F,,,,
1024,1986,384,F,,,,
1025,1986,385,F,,,,
1026,1986,386,F,,,,
1027,1986,387,F,,,,
1028,1986,388,F,,,,
1031,1987,389,F,,,,
1032,1987,390,F,,,,
1033,1987,391,Withdrawn,,,,
1034,1987,392,F,,,,
1035,1987,393,Q,70,A,1988,
1036,1987,394,F,,,,
1037,1987,394,Q,69,R,1988,
1038,1987,396,F,,,,
1039,INITIATIVENUMBER,,,,,,
1041,QUALIFIED FORTHE BALLOT(Q) OR FAILEDTO QUALIFYFOR THEBALLOT (F),,,,,,
1043,PROPOSITIONNUMBER (IFAPPLICABLE),,,,,,
1045,PROPOSITIONAPPROVED (A)OR REJECTED(R) BY VOTERS,,,,,,
1047,ELECTIONYEAR,,,,,,
1052,1987,397,F,,,,
1053,1987,398,F,,,,
1054,1987,399,F,,,,
1055,1987,400,F,,,,
1056,1987,401,Q,73,A,1988,
1057,1987,402,Withdrawn,,,,
1058,1987,403,Withdrawn,,,,
1059,1987,404,F,,,,
1060,1987,405,F,,,,
1061,1987,406,Q,71,R,1988,
1062,1987,407,F,,,,
1063,1987,408,Q,72,R,1988,
1064,1987,409,Withdrawn,,,,
1065,1987,410,F,,,,
1066,1987,411,Withdrawn,,,,
1067,1987,412,F,,,,
1068,1987,413,F,,,,
1069,1987,414,F,,,,
1070,1987,415,F,,,,
1071,1987,416,F,,,,
1072,1987,417,Q,96,A,1988,
1073,1987,418,Q,95,R,1988,
1074,1987,419,Q,99,A,1988,
1075,1987,420,F,,,,
1076,1987,421,Q,97,A,1988,
1077,1987,422,F,,,,
1078,1987,423,F,,,,
1079,INITIATIVENUMBER,,,,,,
1081,QUALIFIED FORTHE BALLOT(Q) OR FAILEDTO QUALIFYFOR THEBALLOT (F),,,,,,
1083,PROPOSITIONNUMBER (IFAPPLICABLE),,,,,,
1085,PROPOSITIONAPPROVED (A)OR REJECTED(R) BY VOTERS,,,,,,
1087,ELECTIONYEAR,,,,,,
1093,1987,424,Judicial Reorganization (CA),F,,,
1094,1987,425,Housing Assistance Bonds. Appropriations (S),F,,,
1095,1987,426,Acquired Immune Deficiency Syndrome (AIDS) Reporting (S),Q,102,R,1988
1096,1987,427,"Alcoholic Beverages. ""Tied House"" Laws (S)",F,,,
1097,1987,428,"Beer, Wine and Distilled Spirit Taxes: Public Safety and EmergencyCare (S)",F,,,
1098,1987,429,"Disclosures to Consumers, Voters, Investors (S)",Q,105,A,1988
1099,1987,430,Motor Vehicle Accident Claims and Insurance Rates (S),Q,101,R,1988
1102,1988,431,Nuclear Power Plant Emergency Response Plans (S),F,,,
1103,1988,432,School Funding for Instructional Improvement and Accountability(CA/S),Q,98,A,1988
1104,1988,433,Criminal Law (CA/S),F,,,
1105,1988,434,AIDS Research. Tax Credit (S),F,,,
1106,1988,435,Insurance Rates and Regulation (S),Q,103,A,1988
1107,1988,436,Health Long Term Care (CA/S),Withdrawn,,,
1108,1988,437,Health and Long-Term Care (CA/S),F,,,
1109,1988,438,Educational Tax Credit (S),F,,,
1110,1988,439,Automobile Insurance. Good Driver Premiums (S),F,,,
1111,1988,440,Motor Vehicle and Other Insurance (S),F,,,
1112,1988,441,Tax Credit. AIDS Research Fund (S),F,,,
1113,1988,442,Motor Vehicle Accident Claim Reimbursement Fund (S),Withdrawn,,,
1114,1988,443,Motor Vehicle Accident Claim Reimbursement Fund. InsuranceRegulation (S),F,,,
1115,1988,444,Insurance Rates and Regulation (S),Q,100,R,1988
1116,1988,445,Small Claims Court (S),F,,,
1117,1988,446,Insurance Regulation. Motor Vehicle Accident ClaimsReimbursement Program (S),F,,,
1118,1988,447,Legal Practice (CA),F,,,
1119,INITIATIVENUMBER,,,,,,
1121,QUALIFIED FORTHE BALLOT(Q) OR FAILEDTO QUALIFYFOR THEBALLOT (F),,,,,,
1123,PROPOSITIONNUMBER (IFAPPLICABLE),,,,,,
1125,PROPOSITIONAPPROVED (A)OR REJECTED(R) BY VOTERS,,,,,,
1127,ELECTIONYEAR,,,,,,
1133,1988,448,Attorney Fees Limit for Tort Claims (S),Q,106,R,1988
1134,1988,449,Automobile and Other Insurance (S),Q,104,R,1988
1135,1988,450,Insurance. Accident Claims. Motor Vehicles (CA/S),F,,,
1136,1988,451,Homestead Against Negligence Liability (S),F,,,
1137,1988,452,Schools and Child Care Centers. Liability Exclusion (S),F,,,
1138,1988,453,Driver and Vehicle Insurance. Taxes and Fees (S),F,,,
1139,1988,454,Financial Responsibility Evidence. Repeal of Law (S),F,,,
1140,1988,455,Congressional Power to Declare Peace (S),F,,,
1141,1988,456,Ticket Selling (S),F,,,
1142,1988,457,Criminal Law (CA/S),F,,,
1145,1989,458,Reapportionment Based on Registered Voters (CA),F,,,
1146,1989,459,AIDS Research. Tax Credit (S),F,,,
1147,1989,460,Right to Keep and Bear Arms (CA),F,,,
1148,1989,461,Split Roll Property Taxes (CA/S),F,,,
1149,1989,462,Criminal Law (CA/S),Q,115,A,1990
1150,1989,463,Election Dates (S),F,,,
1151,1989,464,School Prayer (CA),F,,,
1152,1989,465,Rail Transportation. Bond Act (S),Q,116,A,1990
1153,1989,466,Legislature. Internal Rules. Reapportionment (CA/S),Withdrawn,,,
1154,1989,467,Wildlife Protection (S),Q,117,A,1990
1155,1989,468,Legislature. Internal Rules. Reapportionment (CA/S),F,,,
1156,1989,469,Reapportionment by Commission (CA/S),Q,119,R,1990
1157,1989,470,Reapportionment by Secretary of State (CA),F,,,
1158,1989,471,Legislature. Reapportionment. Ethics (CA/S),F,,,
1159,1989,472,Reapportionment by Legislature; Supreme Court. Judicial Review(CA),F,,,
1160,1989,473,Legislature. Ethics. Reapportionment (CA/S),Q,118,R,1990
1161,INITIATIVENUMBER,,,,,,
1163,QUALIFIED FORTHE BALLOT(Q) OR FAILEDTO QUALIFYFOR THEBALLOT (F),,,,,,
1165,PROPOSITIONNUMBER (IFAPPLICABLE),,,,,,
1167,PROPOSITIONAPPROVED (A)OR REJECTED(R) BY VOTERS,,,,,,
1169,ELECTIONYEAR,,,,,,
1175,1989,474,Reapportionment. Politically Competitive Districts. Voter Registration(CA/S),F,,,
1176,1989,475,Legislature. Limitations on Length of Legislative Service; Eligibilityfor Legislative Office (CA),F,,,
1177,1989,476,Legislature. Limitations on Length of Legislative Service; Eligibilityfor Legislative Office (CA),F,,,
1178,1989,477,Human Life (CA),F,,,
1179,1989,478,Assembly Districts. Elections (CA),F,,,
1180,1989,479,Reapportionment. Politically Competitive Districts. VoterRegistration(CA/S),F,,,
1181,1989,480,Natural Environment. Public Health. Bonds (S),Q,128,R,1990
1182,1989,481,Crimes. Taxation. Bonds (CA/S),Q,129,R,1990
1183,1989,482,Government Officials. Ethics. Campaign Financing (CA/S),Q,131,R,1990
1184,1989,483,Trade Charge. State and Local Taxes (CA/S),F,,,
1185,1989,484,Ownership of Firearms (CA),F,,,
1186,1989,485,Marine Resources (CA),Q,132,A,1990
1187,1989,486,Starvation. Resolution (S),Withdrawn,,,
1188,1989,487,Transportation (CA),F,,,
1189,1989,488,Candidates. Campaign Finances. Gifts (S),F,,,
1190,1989,489,Drug Enforcement and Prevention (S),Q,133,R,1990
1191,1989,490,Reapportionment by Computer Formula (CA),F,,,
1192,1989,491,Alcohol Surtax Fund (CA/S),Q,134,R,1990
1193,1989,492,Gaming Commission. Sports Wagering (CA/S),F,,,
1194,1989,493,Forest Protection. Timber Harvesting. Bond Act (S),F,,,
1197,1990,494,"Health Care Coverage, Insurance. Taxes (CA/S)",F,,,
1198,1990,495,Terms of Office. Public Officers Retirement. Resignations (CA/S),F,,,
1199,1990,496,Terms of Office. Public Officers Retirement. Resignations. Misuse ofPublic Funds (CA/S),Withdrawn,,,
1200,INITIATIVENUMBER,,,,,,
1202,QUALIFIED FORTHE BALLOT(Q) OR FAILEDTO QUALIFYFOR THEBALLOT (F),,,,,,
1204,PROPOSITIONNUMBER (IFAPPLICABLE),,,,,,
1206,PROPOSITIONAPPROVED (A)OR REJECTED(R) BY VOTERS,,,,,,
1208,ELECTIONYEAR,,,,,,
1213,1990,497,withdrawn,,,,
1214,1990,498,Withdrawn,,,,
1215,1990,499,Withdrawn,,,,
1216,1990,500,F,,,,
1217,1990,501,F,,,,
1218,1990,502,Q,140,A,1990,
1219,1990,503,F,,,,
1220,1990,504,Q,139,A,1990,
1221,1990,505,F,,,,
1222,1990,506,F,,,,
1223,1990,507,F,,,,
1224,1990,508,F,,,,
1225,1990,509,Q,137,R,1990,
1226,1990,510,Q,136,R,1990,
1227,1990,511,F,,,,
1228,1990,512,Q,135,R,1990,
1229,1990,513,F,,,,
1230,1990,514,Withdrawn,,,,
1231,1990,515,Q,138,R,1990,
1232,1990,516,Withdrawn,,,,
1233,1990,517,F,,,,
1234,1990,518,Q,130,R,1990,
1235,1990,519,F,,,,
1236,1990,520,F,,,,
1237,1990,521,F,,,,
1238,INITIATIVENUMBER,,,,,,
1240,QUALIFIED FORTHE BALLOT(Q) OR FAILEDTO QUALIFYFOR THEBALLOT (F),,,,,,
1242,PROPOSITIONNUMBER (IFAPPLICABLE),,,,,,
1244,PROPOSITIONAPPROVED (A)OR REJECTED(R) BY VOTERS,,,,,,
1246,ELECTIONYEAR,,,,,,
1252,1990,522,"Private Property, Compensation for Public Use (CA)",F,,,
1253,1990,523,Firearms Regulation (S),F,,,
1254,1990,524,Pesticide Regulation and Application (S),F,,,
1255,1990,525,State Administered Automobile Insurance. Automobile Claims Court(CA/S),F,,,
1256,1990,526,"Workers, Vacation (CA)",F,,,
1257,1990,527,State Operated Automobile Insurance. Auto Claims. AdministrativeCourt (S),F,,,
1258,1990,528,Tax and Spending Limits (CA),F,,,
1259,1990,529,Regulation of Firearms (S),F,,,
1262,1991,530,Juries (CA),F,,,
1263,1991,531,Marijuana (S),F,,,
1264,1991,532,Limitation Upon Government Actions and Service in Government(CA),F,,,
1265,1991,533,Initiative and Referendum Process (CA/S),Withdrawn,,,
1266,1991,534,Health Care (CA),F,,,
1267,1991,535,Gaming Commission. Sports Wagering. Lottery Games (CA/S),F,,,
1268,1991,536,Legal Practice and Services (CA),F,,,
1269,1991,537,"Vacations, Workers (CA)",F,,,
1270,1991,538,Income Tax (S),Withdrawn,,,
1271,1991,539,Forestry Practices (S),Withdrawn,,,
1272,1991,540,Civil Rights. Discriminatory Conduct. Homosexuality; Bisexuality(CA),F,,,
1273,1991,541,Campaign Funding. Contribution Limits (S),F,,,
1274,1991,542,"Initiative. Referendum. City, City and County Charter (CA/S)",F,,,
1275,1991,543,Terminal Illness. Assistance in Dying (S),Q,161,R,1992
1276,1991,544,Executions (S),F,,,
1277,1991,545,Death Penalty. Public Executions (CA),F,,,
1278,INITIATIVENUMBER,,,,,,
1280,QUALIFIED FORTHE BALLOT(Q) OR FAILEDTO QUALIFYFOR THEBALLOT (F),,,,,,
1282,PROPOSITIONNUMBER (IFAPPLICABLE),,,,,,
1284,PROPOSITIONAPPROVED (A)OR REJECTED(R) BY VOTERS,,,,,,
1286,ELECTIONYEAR,,,,,,
1291,1991,546,F,,,,
1292,1991,547,Q,163,A,1992,
1293,1991,548,F,,,,
1294,1991,549,F,,,,
1295,1991,550,F,,,,
1296,1991,551,F,,,,
1297,1991,552,F,,,,
1298,1991,553,F,,,,
1299,1991,554,F,,,,
1300,1991,555,Q,162,A,1992,
1301,1991,556,F,,,,
1302,1991,557,F,,,,
1303,1991,558,Q,174,R,1993***,
1306,1992,559,F,,,,
1307,1992,560,F,,,,
1308,1992,561,F,,,,
1309,1992,562,F,,,,
1310,1992,563,Q,165,R,1992,
1311,1992,564,F,,,,
1312,1992,565,F,,,,
1313,1992,566,F,,,,
1314,1992,567,F,,,,
1315,1992,568,F,,,,
1316,1992,569,Q,164,A,1992,
1317,1992,570,Withdrawn,,,,
1318,INITIATIVENUMBER,,,,,,
1320,QUALIFIED FORTHE BALLOT(Q) OR FAILEDTO QUALIFYFOR THEBALLOT (F),,,,,,
1322,PROPOSITIONNUMBER (IFAPPLICABLE),,,,,,
1324,PROPOSITIONAPPROVED (A)OR REJECTED(R) BY VOTERS,,,,,,
1326,ELECTIONYEAR,,,,,,
1331,1992,571,F,,,,
1332,1992,572,F,,,,
1333,1992,573,F,,,,
1334,1992,574,Q,166,R,1992,
1335,1992,575,F,,,,
1336,1992,576,Q,167,R,1992,
1337,1992,577,F,,,,
1338,1992,578,F,,,,
1339,1992,579,F,,,,
1340,1992,580,F,,,,
1341,1992,581,F,,,,
1342,1992,582,F,,,,
1343,1992,583,Withdrawn,,,,
1344,1992,584,F,,,,
1345,1992,585,F,,,,
1346,1992,586,F,,,,
1347,1992,587,F,,,,
1348,1992,588,Withdrawn,,,,
1351,1993,589,F,,,,
1352,1993,590,F,,,,
1353,1993,591,F,,,,
1354,1993,592,F,,,,
1355,1993,593,Q,180,R,1994,
1356,1993,594,F,,,,
1357,INITIATIVENUMBER,,,,,,
1359,QUALIFIED FORTHE BALLOT(Q) OR FAILEDTO QUALIFYFOR THEBALLOT (F),,,,,,
1361,PROPOSITIONNUMBER (IFAPPLICABLE),,,,,,
1363,PROPOSITIONAPPROVED (A)OR REJECTED(R) BY VOTERS,,,,,,
1365,ELECTIONYEAR,,,,,,
1370,1993,595,F,,,,
1371,1993,596,F,,,,
1372,1993,597,F,,,,
1373,1993,598,F,,,,
1374,1993,599,F,,,,
1375,1993,600,F,,,,
1376,1993,601,F,,,,
1377,1993,602,F,,,,
1378,1993,603,Withdrawn,,,,
1379,1993,604,Q,184,A,1994,
1380,1993,605,F,,,,
1381,1993,606,F,,,,
1382,1993,607,F,,,,
1383,1993,608,F,,,,
1384,1993,609,F,,,,
1385,1993,610,F,,,,
1386,1993,611,F,,,,
1387,1993,612,F,,,,
1388,1993,613,F,,,,
1389,1993,614,F,,,,
1390,1993,615,Withdrawn,,,,
1391,1993,616,F,,,,
1392,1993,617,F,,,,
1393,1993,618,F,,,,
1396,1994,619,Q,185,R,1994,
1397,INITIATIVENUMBER,,,,,,
1399,QUALIFIED FORTHE BALLOT(Q) OR FAILEDTO QUALIFYFOR THEBALLOT (F),,,,,,
1401,PROPOSITIONNUMBER (IFAPPLICABLE),,,,,,
1403,PROPOSITIONAPPROVED (A)OR REJECTED(R) BY VOTERS,,,,,,
1405,ELECTIONYEAR,,,,,,
1410,1994,620,F,,,,
1411,1994,621,F,,,,
1412,1994,622,Withdrawn,,,,
1413,1994,623,Q,187,A,1994,
1414,1994,624,F,,,,
1415,1994,625,F,,,,
1416,1994,626,Q,186,R,1994,
1417,1994,627,F,,,,
1418,1994,628,F,,,,
1419,1994,629,Q,199,R,1996,
1420,1994,630,F,,,,
1421,1994,631,F,,,,
1422,1994,632,F,,,,
1423,1994,633,Q,198,A,1996,
1424,1994,634,F,,,,
1425,1994,635,F,,,,
1426,1994,636,F,,,,
1427,1994,637,F,,,,
1428,1994,638,Q,188,R,1994,
1429,1994,639,F,,,,
1430,1994,640,F,,,,
1431,1994,641,F,,,,
1432,1994,642,F,,,,
1433,1994,643,F,,,,
1434,1994,644,F,,,,
1435,1994,645,F,,,,
1436,INITIATIVENUMBER,,,,,,
1438,QUALIFIED FORTHE BALLOT(Q) OR FAILEDTO QUALIFYFOR THEBALLOT (F),,,,,,
1440,PROPOSITIONNUMBER (IFAPPLICABLE),,,,,,
1442,PROPOSITIONAPPROVED (A)OR REJECTED(R) BY VOTERS,,,,,,
1444,ELECTIONYEAR,,,,,,
1449,1994,646,F,,,,
1450,1994,647,F,,,,
1451,1994,648,F,,,,
1452,1994,649,F,,,,
1453,1994,650,F,,,,
1454,1994,651,F,,,,
1455,1994,652,F,,,,
1456,1994,653,F,,,,
1459,1995,654,F,,,,
1460,1995,655,F,,,,
1461,1995,656,Withdrawn,,,,
1462,1995,657,Withdrawn,,,,
1463,1995,658,Q,200,R,1996,
1464,1995,659,Q,201,R,1996,
1465,1995,660,F,,,,
1466,1995,661,F,,,,
1467,1995,662,Q,202,R,1996,
1468,1995,663,F,,,,
1469,1995,664,Q,207,R,1996,
1470,1995,665,F,,,,
1471,1995,666,F,,,,
1472,1995,667,F,,,,
1473,INITIATIVENUMBER,,,,,,
1475,QUALIFIED FORTHE BALLOT(Q) OR FAILEDTO QUALIFYFOR THEBALLOT (F),,,,,,
1477,PROPOSITIONNUMBER (IFAPPLICABLE),,,,,,
